range,instances_all_pids,instances_in_window,wall_s_per_pid_mean,gpu_kernel_s_per_gpu_mean
aten::fill_,26677,26642,0.032,0.146
c10d::allreduce_,1071,1057,0.038,0.146
nccl:all_reduce,1071,1057,0.019,0.146
layer:20,16,16,0.187,0.146
layer:57,16,16,0.183,0.146
layer:72,16,16,0.177,0.146
aten::topk,3150,3150,0.014,0.145
layer:28,16,16,0.18,0.145
layer:41,16,16,0.192,0.145
layer:58,16,16,0.183,0.145
nvte_rmsnorm_bwd,5008,5008,0.007,0.145
_OperationFuserAutogradFunctionBackward,2170,2170,0.042,0.145
aten::einsum,2184,2184,0.032,0.144
layer:12,16,16,0.18,0.144
layer:74,16,16,0.177,0.144
ncclAllGather,1592,1592,0.026,0.143
megatron.core.transformer.mlp.forward.linear_fc2,1248,1248,0.109,0.143
_c10d_functional::all_reduce_,1050,1050,0.039,0.143
layer:69,16,16,0.173,0.143
layer:1,16,16,0.135,0.142
layer:56,16,16,0.18,0.142
layer:38,16,16,0.193,0.141
layer:68,16,16,0.178,0.141
layer:26,16,16,0.175,0.14
layer:24,16,16,0.194,0.139
_GatherFromSequenceParallelRegion,1386,1386,0.055,0.138
c10d::_allgather_base_,1393,1393,0.044,0.138
nccl:_all_gather_base,1393,1393,0.037,0.138
layer:36,16,16,0.172,0.138
layer:45,16,16,0.186,0.138
autograd::engine::evaluate_function: SiluBackward0,1071,1071,0.004,0.137
SiluBackward0,1071,1071,0.003,0.137
aten::silu_backward,1071,1071,0.003,0.137
layer:65,16,16,0.176,0.136
layer:64,16,16,0.178,0.135
layer:10,16,16,0.183,0.133
layer:25,16,16,0.179,0.132
Torch-Compiled Region: 3/2,525,525,4.494,0.131
Torch-Compiled Region: 4/2,525,525,4.483,0.131
layer:61,16,16,0.185,0.13
layer:5,16,16,0.179,0.128
triton_poi_fused__to_copy_mul_unsqueeze_view_0,67200,67200,0.091,0.118
autograd::engine::evaluate_function: SplitBackward0,2163,2163,0.007,0.118
SplitBackward0,2163,2163,0.006,0.118
autograd::engine::evaluate_function: ToCopyBackward0,637,637,0.005,0.113
ToCopyBackward0,637,637,0.004,0.113
dsa_indexer,336,336,2.795,0.111
autograd::engine::evaluate_function: LinearWithGradAccumulationAndAsyncCommunicationBackward,4480,4480,0.096,0.107
LinearWithGradAccumulationAndAsyncCommunicationBackward,4480,4480,0.083,0.107
LinearWithGradAccumulationAndAsyncCommunication,8848,8848,0.09,0.106
autograd::engine::evaluate_function: IndexSelectBackward0,546,546,0.004,0.103
IndexSelectBackward0,546,546,0.003,0.103
aten::index_select_backward,546,546,0.003,0.103
aten::index_add_,546,546,0.001,0.097
aten::zero_,17577,17542,0.025,0.095
autograd::engine::evaluate_function: RouterGatingLinearFunctionBackward,525,525,0.024,0.094
## Call CompiledFxGraph fj33vj65sa5gcdlvyjuhnrp26o4mw5ljdfddbizseffffu4gqozm ##,150,150,0.066,0.083
_OperationFuserAutogradFunction,2170,2170,0.037,0.082
