k,laggard_gpu,lateness_ms,laggard_gpu_idle_since_prev_release_ms,laggard_interval_ms,sum_wait_all_gpus_ms,laggard_nvtx
79,5,0.091,0.003,3.959,1.203,forward|layer|attention
80,6,0.068,8.714,42.039,0.509,forward|layer|moe|hybridep_dispatch
81,3,0.555,0.004,4.307,4.177,forward|layer|moe|moe_experts
82,4,8.105,0.176,27.853,56.244,forward|layer|attention
83,0,0.015,0.002,3.608,0.28,forward|layer|attention
84,1,0.043,8.896,41.381,0.364,forward|layer|moe|hybridep_dispatch
85,7,0.556,0.004,4.014,3.583,forward|layer|moe|moe_experts
86,1,5.697,0.194,26.691,46.864,forward|layer|attention
87,4,0.017,0.002,3.408,0.207,forward|layer|attention
88,3,0.049,10.41,42.027,0.358,forward|layer|moe|hybridep_dispatch
89,1,0.546,0.003,4.284,4.266,forward|layer|moe|moe_experts
90,5,9.766,0.177,29.41,69.245,forward|layer|attention
91,1,0.041,0.004,3.589,0.588,forward|layer|attention
92,7,0.048,11.323,109.409,0.425,forward|layer|moe|hybridep_dispatch
93,0,0.796,0.004,4.694,4.684,forward|layer|moe|moe_experts
94,7,12.09,0.195,32.042,89.899,forward|layer|attention
95,0,0.053,0.003,3.915,0.924,forward|layer|attention
96,6,0.035,8.996,40.516,0.358,forward|layer|moe|hybridep_dispatch
97,0,0.42,0.004,4.876,4.73,forward|layer|moe|moe_experts
98,6,9.812,0.171,31.514,85.973,forward|layer|attention
99,3,0.053,0.003,4.062,1.057,forward|layer|attention
100,3,0.057,16.682,47.691,0.496,forward|layer|moe|hybridep_dispatch
101,0,0.708,0.003,4.743,4.601,forward|layer|moe|moe_experts
102,3,17.842,0.408,36.136,123.615,forward|layer|attention
103,5,0.034,0.005,3.974,1.068,forward|layer|attention
104,3,0.091,10.331,42.356,0.686,forward|layer|moe|hybridep_dispatch
105,1,0.756,0.005,4.862,4.857,forward|layer|moe|moe_experts
106,3,21.412,0.205,40.469,157.458,forward|layer|attention
107,6,0.058,0.003,4.077,1.262,forward|layer|attention
108,2,0.03,11.058,110.018,0.257,forward|layer|moe|hybridep_dispatch
109,3,0.368,0.005,4.37,3.905,forward|layer|moe|moe_experts
110,2,15.556,0.393,35.258,115.955,forward|layer|attention
111,7,0.033,0.004,3.676,0.642,forward|layer|attention
112,5,0.043,9.168,41.28,0.42,forward|layer|moe|hybridep_dispatch
113,0,0.423,0.004,4.99,5.772,forward|layer|moe|moe_experts
114,5,18.081,0.167,35.324,116.145,forward|layer|attention
115,3,0.021,0.005,4.106,0.575,forward|layer|attention
116,5,0.056,9.122,45.168,0.391,forward|layer|moe|hybridep_dispatch
117,1,0.762,0.005,4.896,4.609,forward|layer|moe|moe_experts
118,0,15.911,0.188,33.227,99.741,forward|layer|attention
119,2,0.092,0.004,4.131,1.376,forward|layer|attention
120,6,0.043,8.953,41.928,0.39,forward|layer|moe|hybridep_dispatch
121,0,0.452,0.002,4.858,4.97,forward|layer|moe|moe_experts
122,6,19.633,0.2,39.374,148.5,forward|layer|attention
123,1,0.078,0.005,4.055,1.336,forward|layer|attention
124,6,0.03,11.434,110.926,0.284,forward|layer|moe|hybridep_dispatch
125,1,0.481,0.007,4.168,3.992,forward|layer|moe|moe_experts
126,5,6.778,0.184,27.664,55.649,forward|layer|attention
127,0,0.016,0.002,3.484,0.264,forward|layer|attention
128,5,0.016,9.998,42.286,0.233,forward|layer|moe|hybridep_dispatch
129,0,0.533,0.004,4.772,4.82,forward|layer|moe|moe_experts
130,6,6.743,0.191,28.015,56.377,forward|layer|attention
131,4,0.066,0.005,3.968,0.878,forward|layer|attention
132,6,0.044,8.695,41.3,0.394,forward|layer|moe|hybridep_dispatch
133,1,0.4,0.005,4.846,5.0,forward|layer|moe|moe_experts
134,5,25.489,0.205,43.327,181.083,forward|layer|attention
135,7,0.036,0.004,3.995,0.981,forward|layer|attention
136,3,0.025,9.75,40.83,0.237,forward|layer|moe|hybridep_dispatch
137,7,0.704,0.005,4.404,3.774,forward|layer|moe|moe_experts
138,1,9.684,0.175,30.282,75.998,forward|layer|attention
139,2,0.032,0.004,3.715,0.581,forward|layer|attention
140,3,0.559,15.285,112.582,3.382,forward|layer|moe|hybridep_dispatch
141,3,0.425,0.018,4.487,4.611,forward|layer|moe|moe_experts
142,2,11.386,2.567,32.279,85.475,forward|layer|attention
143,7,0.024,0.004,3.674,0.446,forward|layer|attention
144,4,0.025,9.056,41.206,0.287,forward|layer|moe|hybridep_dispatch
145,1,0.738,0.005,4.802,4.565,forward|layer|moe|moe_experts
146,0,20.322,0.184,38.787,144.674,forward|layer|attention
147,2,0.048,0.005,4.02,1.116,forward|layer|attention
148,5,0.037,9.403,41.735,0.318,forward|layer|moe|hybridep_dispatch
149,0,0.416,0.003,4.675,4.381,forward|layer|moe|moe_experts
150,5,13.071,0.185,31.73,87.996,forward|layer|attention
151,6,0.021,0.002,3.894,0.725,forward|layer|attention
152,1,0.047,8.853,40.997,0.371,forward|layer|moe|hybridep_dispatch
153,0,0.854,0.003,4.542,4.949,forward|layer|moe|moe_experts
154,1,13.958,0.18,33.322,99.829,forward|layer|attention
155,4,0.028,0.003,3.706,0.638,forward|layer|attention
156,6,0.056,11.123,110.098,0.458,forward|layer|moe|hybridep_dispatch
157,3,0.46,0.004,4.916,4.904,forward|layer|moe|moe_experts
158,6,19.813,0.166,37.724,135.665,forward|layer|attention
159,7,0.046,0.003,4.084,1.128,forward|layer|attention
160,7,0.045,9.235,41.136,0.397,forward|layer|moe|hybridep_dispatch
161,1,0.751,0.004,4.867,4.745,forward|layer|moe|moe_experts
162,7,17.324,0.165,36.099,123.197,forward|layer|attention
163,4,0.045,0.004,4.088,1.244,forward|layer|attention
164,5,0.011,9.149,40.292,0.186,forward|layer|moe|hybridep_dispatch
165,3,0.718,0.004,4.267,3.983,forward|layer|moe|moe_experts
166,0,9.172,0.168,29.225,67.875,forward|layer|attention
167,4,0.065,0.002,3.591,0.635,forward|layer|attention
168,4,0.042,8.728,40.48,0.413,forward|layer|moe|hybridep_dispatch
169,0,0.423,0.003,4.729,4.598,forward|layer|moe|moe_experts
170,4,17.457,0.174,36.049,121.656,forward|layer|attention
171,7,0.016,0.003,3.906,0.479,forward|layer|attention
172,7,0.037,11.634,110.056,0.324,forward|layer|moe|hybridep_dispatch
173,0,0.766,0.004,4.73,4.514,forward|layer|moe|moe_experts
174,7,15.618,0.181,34.468,109.885,forward|layer|attention
175,2,0.028,0.004,3.957,0.931,forward|layer|attention
176,6,0.035,8.688,40.169,0.325,forward|layer|moe|hybridep_dispatch
177,0,0.424,0.003,4.839,4.678,forward|layer|moe|moe_experts
178,6,20.359,0.196,39.189,146.876,forward|layer|attention
179,7,0.039,0.005,4.036,1.042,forward|layer|attention
180,0,0.036,7.573,41.107,0.369,forward|layer|moe|hybridep_dispatch
181,0,0.758,0.004,4.814,4.819,forward|layer|moe|moe_experts
182,1,14.659,0.191,33.255,99.299,forward|layer|attention
183,1,0.131,0.003,4.092,1.531,forward|layer|attention
184,1,0.069,8.793,41.176,0.591,forward|layer|moe|hybridep_dispatch
185,0,0.67,0.004,4.788,4.904,forward|layer|moe|moe_experts
186,1,38.012,0.253,52.27,252.973,forward|layer|attention
187,2,0.024,0.006,3.99,1.158,forward|layer|attention
188,2,0.042,11.105,111.176,0.403,forward|layer|moe|hybridep_dispatch
189,1,0.826,0.006,4.298,4.498,forward|layer|moe|moe_experts
190,0,10.721,0.168,30.336,75.751,forward|layer|attention
191,3,0.023,0.004,3.531,0.413,forward|layer|attention
192,6,0.046,8.67,41.437,0.374,forward|layer|moe|hybridep_dispatch
193,0,0.44,0.004,4.936,5.699,forward|layer|moe|moe_experts
194,6,21.663,0.184,39.468,149.395,forward|layer|attention
195,4,0.053,0.004,4.064,1.056,forward|layer|attention
196,4,0.034,8.559,40.407,0.351,forward|layer|moe|hybridep_dispatch
197,1,0.778,0.005,4.59,4.779,forward|layer|moe|moe_experts
198,0,13.728,0.177,34.01,106.825,forward|layer|attention
199,6,0.03,0.003,3.768,0.78,forward|layer|attention
200,4,0.059,8.466,40.702,0.463,forward|layer|moe|hybridep_dispatch
201,0,0.416,0.004,4.809,4.767,forward|layer|moe|moe_experts
202,4,28.613,0.195,46.061,202.796,forward|layer|attention
203,7,0.043,0.004,4.01,0.915,forward|layer|attention
204,6,0.044,10.782,111.208,0.353,forward|layer|moe|hybridep_dispatch
205,1,0.46,0.006,4.935,4.983,forward|layer|moe|moe_experts
206,6,16.659,0.185,35.146,114.564,forward|layer|attention
207,3,0.045,0.004,4.096,1.097,forward|layer|attention
208,7,0.035,9.138,40.425,0.334,forward|layer|moe|hybridep_dispatch
209,0,0.815,0.004,4.867,4.763,forward|layer|moe|moe_experts
210,7,9.844,0.176,30.286,75.981,forward|layer|attention
211,4,0.083,0.003,4.098,1.248,forward|layer|attention
212,3,0.032,9.773,40.505,0.31,forward|layer|moe|hybridep_dispatch
213,1,0.748,0.004,4.744,4.472,forward|layer|moe|moe_experts
214,3,12.593,0.171,32.31,91.934,forward|layer|attention
215,0,0.038,0.002,3.965,0.775,forward|layer|attention
216,7,0.051,9.048,41.598,0.386,forward|layer|moe|hybridep_dispatch
217,0,0.441,0.003,4.902,4.714,forward|layer|moe|moe_experts
218,2,12.621,0.161,31.43,84.841,forward|layer|attention
219,7,0.057,0.002,4.101,1.099,forward|layer|attention
220,1,0.054,11.555,111.644,0.453,forward|layer|moe|hybridep_dispatch
221,0,0.801,0.005,4.834,6.296,forward|layer|moe|moe_experts
222,1,20.97,0.222,37.847,136.211,forward|layer|attention
223,1,0.024,0.002,3.961,0.356,forward|layer|attention
224,2,0.055,8.629,41.095,0.456,forward|layer|moe|hybridep_dispatch
225,1,0.484,0.006,4.942,5.14,forward|layer|moe|moe_experts
226,2,16.406,0.167,36.923,128.911,forward|layer|attention
227,3,0.028,0.003,4.057,0.775,forward|layer|attention
228,2,0.042,8.813,41.215,0.379,forward|layer|moe|hybridep_dispatch
229,0,0.499,0.002,3.933,3.363,forward|layer|moe|moe_experts
230,7,3.493,0.175,24.582,30.504,forward|layer|attention
231,2,0.067,0.003,3.473,0.589,forward|layer|attention
232,4,0.048,10.795,45.81,0.4,forward|layer|moe|hybridep_dispatch
233,3,0.405,0.005,4.575,4.357,forward|layer|moe|moe_experts
234,4,16.148,0.173,35.235,116.04,forward|layer|attention
235,0,0.031,0.001,3.811,0.833,forward|layer|attention
236,5,0.036,14.139,110.88,0.334,forward|layer|moe|hybridep_dispatch
237,0,0.725,0.004,4.516,4.105,forward|layer|moe|moe_experts
238,1,14.489,0.21,33.65,102.046,forward|layer|attention
239,5,0.088,0.005,3.842,0.959,forward|layer|attention
240,4,0.075,8.777,41.438,0.633,forward|layer|moe|hybridep_dispatch
241,7,0.721,0.004,4.196,4.58,forward|layer|moe|moe_experts
242,1,7.543,0.65,29.229,66.396,forward|layer
243,1,0.109,0.003,3.603,0.786,forward|layer|attention
244,5,0.012,9.161,41.237,0.201,forward|layer|moe|hybridep_dispatch
245,1,0.665,0.003,4.138,4.074,forward|layer|moe|moe_experts
246,0,7.341,0.169,27.658,55.255,forward|layer|attention
247,1,0.018,0.004,3.488,0.265,forward|layer|attention
248,1,0.032,9.159,40.388,0.28,forward|layer|moe|hybridep_dispatch
249,0,0.784,0.003,4.73,4.819,forward|layer|moe|moe_experts
250,1,23.512,0.214,41.823,168.044,forward|layer|attention
251,7,0.013,0.004,3.896,0.601,forward|layer|attention
252,6,0.022,10.765,110.773,0.299,forward|layer|moe|hybridep_dispatch
253,3,0.569,0.005,4.84,5.159,forward|layer|moe|moe_experts
254,6,10.82,0.168,32.43,92.606,forward|layer|attention
255,1,0.17,0.003,4.09,1.682,forward|layer|attention
256,2,0.015,9.113,41.19,0.185,forward|layer|moe|hybridep_dispatch
257,1,0.416,0.005,4.39,4.708,forward|layer|moe|moe_experts
258,4,11.373,0.176,30.842,81.092,forward|layer|attention
259,7,0.03,0.004,3.62,0.391,forward|layer|attention
260,6,0.03,8.62,40.952,0.28,forward|layer|moe|hybridep_dispatch
261,3,0.764,0.004,4.691,4.939,forward|layer|moe|moe_experts
262,0,11.415,0.17,31.048,82.566,forward|layer|attention
263,5,0.058,0.004,3.883,0.62,forward|layer|attention
264,5,0.025,9.015,40.969,0.287,forward|layer|moe|hybridep_dispatch
265,0,0.762,0.002,4.447,4.943,forward|layer|moe|moe_experts
266,3,13.787,0.163,33.539,103.127,forward|layer|attention
267,2,0.018,0.005,3.665,0.316,forward|layer|attention
268,1,0.043,11.413,109.731,0.436,forward|layer|moe|hybridep_dispatch
269,0,0.467,0.004,4.722,4.702,forward|layer|moe|moe_experts
270,6,12.425,0.195,32.736,95.875,forward|layer|attention
271,3,0.03,0.004,3.926,0.727,forward|layer|attention
272,6,0.067,8.786,40.697,0.598,forward|layer|moe|hybridep_dispatch
273,0,0.771,0.004,4.792,5.654,forward|layer|moe|moe_experts
274,1,12.088,0.177,33.066,98.524,forward|layer|attention
275,1,0.073,0.002,3.986,0.776,forward|layer|attention
276,3,0.03,9.628,40.614,0.304,forward|layer|moe|hybridep_dispatch
277,1,0.786,0.004,4.638,4.561,forward|layer|moe|moe_experts
278,0,14.049,0.185,32.69,95.506,forward|layer|attention
279,1,0.047,0.005,3.864,0.556,forward|layer|attention
280,4,0.032,8.651,40.155,0.322,forward|layer|moe|hybridep_dispatch
281,0,0.467,0.004,4.959,4.823,forward|layer|moe|moe_experts
282,5,12.181,0.169,32.047,91.047,forward|layer|attention
283,5,0.019,0.004,4.091,0.722,forward|layer|attention
284,6,0.034,11.163,112.944,0.301,forward|layer|moe|hybridep_dispatch
285,1,0.486,0.004,4.667,5.018,forward|layer|moe|moe_experts
286,4,10.213,0.203,33.102,80.771,forward|layer|attention
287,2,0.034,0.003,3.871,0.581,forward|layer|attention
288,2,0.043,9.328,40.999,0.391,forward|layer|moe|hybridep_dispatch
289,0,0.443,0.004,4.961,5.384,forward|layer|moe|moe_experts
290,6,25.913,0.191,42.832,178.069,forward|layer|attention
291,6,0.027,0.002,4.053,0.766,forward|layer|attention
292,7,0.067,11.132,41.637,0.687,forward|layer|moe|hybridep_dispatch
293,1,0.725,0.004,4.623,5.514,forward|layer|moe|moe_experts
294,6,11.998,0.214,35.355,118.539,forward|layer|attention
295,3,0.107,0.003,3.861,0.923,forward|layer|attention
296,2,0.063,9.388,45.299,0.487,forward|layer|moe|hybridep_dispatch
297,3,0.703,0.007,4.914,5.511,forward|layer|moe|moe_experts
298,1,30.832,0.218,46.46,207.525,forward|lm_head
299,1,0.037,0.002,4.017,0.561,forward|lm_head
300,1,0.073,18.15,1969.119,0.524,backward|recompute|layer|moe|hybridep_dispatch
301,0,0.7,0.004,4.905,5.525,backward|recompute|layer|moe|moe_experts
302,1,352.569,322.109,367.782,2329.452,backward|recompute
303,5,0.018,0.004,4.004,0.545,backward|recompute
304,6,0.007,0.009,0.371,0.101,backward|recompute
305,3,0.629,0.003,4.51,4.969,backward|recompute
306,1,39.994,0.123,57.149,270.143,backward|recompute
307,5,0.047,0.004,4.346,0.759,backward|recompute
308,5,0.092,10.247,138.829,0.807,backward|recompute|layer|moe|hybridep_dispatch
309,1,0.742,0.004,4.641,5.65,backward|recompute|layer|moe|moe_experts
310,6,11.577,0.219,34.918,115.773,backward|recompute
311,5,0.031,0.004,3.79,0.361,backward|recompute
312,6,0.004,0.007,0.369,0.079,backward|recompute
313,1,0.686,0.006,4.28,5.172,backward|recompute
314,6,14.436,0.08,40.789,141.71,backward|recompute
315,3,0.11,0.003,4.141,1.051,backward|recompute
316,6,0.031,9.278,129.021,0.401,backward|recompute|layer|moe|hybridep_dispatch
317,0,0.447,0.004,4.958,5.39,backward|recompute|layer
318,6,25.789,0.195,42.618,176.638,backward|recompute
319,6,0.053,0.003,4.091,0.987,backward|recompute
320,6,0.013,0.006,0.377,0.16,backward|recompute
321,0,0.42,0.004,4.575,5.015,backward|recompute
322,6,36.47,0.127,54.962,250.689,backward|recompute
323,6,0.026,0.003,4.378,1.027,backward|recompute
324,6,0.022,10.676,131.473,0.261,backward|recompute|layer|moe|hybridep_dispatch
325,1,0.478,0.006,4.655,4.958,backward|recompute|layer|moe|moe_experts
326,4,11.041,0.178,32.946,98.666,backward|recompute
327,1,0.007,0.002,3.848,0.423,backward|recompute
328,4,0.008,0.008,0.373,0.117,backward|recompute
329,1,0.433,0.003,4.289,4.429,backward|recompute
330,4,13.893,0.076,38.421,122.793,backward|recompute
331,2,0.05,0.003,4.167,0.784,backward|recompute
332,4,0.05,10.05,131.399,0.519,backward|recompute|layer|moe|hybridep_dispatch
333,1,0.456,0.006,4.949,4.779,backward|recompute|layer|moe|moe_experts
334,5,12.369,0.173,32.209,92.228,backward|recompute
335,5,0.024,0.004,4.095,0.751,backward|recompute
336,6,0.003,0.01,0.367,0.076,backward|recompute
337,1,0.459,0.003,4.608,4.709,backward|recompute
338,5,14.813,0.082,36.958,110.825,backward|recompute
339,5,0.053,0.003,4.435,1.133,backward|recompute
340,5,0.017,10.424,126.3,0.246,backward|recompute|layer|moe|hybridep_dispatch
341,1,0.763,0.006,4.607,4.375,backward|recompute|layer|moe|moe_experts
342,0,61.049,47.338,79.721,424.754,backward|recompute
343,2,0.012,0.003,3.841,0.378,backward|recompute
344,7,0.004,0.011,0.367,0.088,backward|recompute
345,1,0.711,0.004,4.262,4.1,backward|recompute
346,0,16.543,0.077,37.117,112.793,backward|recompute
347,3,0.07,0.003,4.169,0.904,backward|recompute
348,6,0.027,9.501,128.839,0.32,backward|recompute|layer|moe|hybridep_dispatch
349,0,0.781,0.004,4.797,5.688,backward|recompute|layer|moe|hybridep_combine
350,1,11.748,0.176,32.678,95.785,backward|recompute
351,3,0.079,0.002,3.992,0.841,backward|recompute
352,3,0.009,0.009,0.373,0.113,backward|recompute
353,0,0.722,0.002,4.428,5.257,backward|recompute
354,1,14.485,0.075,37.728,115.93,backward|recompute
355,2,0.057,0.004,4.258,0.774,backward|recompute
356,6,0.053,10.935,130.626,0.504,backward|recompute|layer|moe|hybridep_dispatch
357,0,0.484,0.002,4.715,4.701,backward|recompute|layer|moe|hybridep_combine
358,6,12.325,0.193,32.687,96.229,backward|recompute
359,3,0.047,0.005,3.937,0.806,backward|recompute
360,6,0.011,0.011,0.375,0.118,backward|recompute
361,0,0.46,0.003,4.364,4.359,backward|recompute
362,6,14.801,0.08,37.473,115.123,backward|recompute
363,3,0.021,0.003,4.222,0.901,backward|recompute
364,5,0.033,13.495,136.402,0.358,backward|recompute|layer|moe|hybridep_dispatch
365,0,0.759,0.003,4.438,4.882,backward|recompute|layer|moe|moe_experts
366,3,14.11,0.167,33.786,105.315,backward|recompute
367,2,0.045,0.004,3.677,0.436,backward|recompute
368,7,0.003,0.01,0.367,0.074,backward|recompute
369,0,0.688,0.002,4.083,4.412,backward|recompute
370,3,17.204,0.076,39.134,128.752,backward|recompute
371,2,0.08,0.004,3.985,0.801,backward|recompute
372,5,0.121,10.5,125.148,0.925,backward|recompute|layer|moe|hybridep_dispatch
373,3,0.78,0.004,4.691,4.976,backward|recompute|layer|moe|moe_experts
374,0,11.468,0.169,31.087,83.033,backward|recompute
375,5,0.042,0.003,3.867,0.494,backward|recompute
376,3,0.003,0.008,0.368,0.071,backward|recompute
377,3,0.721,0.003,4.339,4.768,backward|recompute
378,0,13.801,0.075,35.592,100.213,backward|recompute
379,7,0.058,0.004,4.155,0.708,backward|recompute
380,4,0.044,9.102,125.617,0.396,backward|recompute|layer|moe|hybridep_dispatch
381,7,0.412,0.006,4.381,4.681,backward|recompute|layer|moe|moe_experts
382,4,11.366,0.18,30.914,81.912,backward|recompute
383,7,0.031,0.003,3.611,0.347,backward|recompute
384,2,0.003,0.009,0.367,0.074,backward|recompute
385,7,0.361,0.004,4.026,4.198,backward|recompute
386,4,13.861,0.09,35.269,98.572,backward|recompute
387,7,0.036,0.005,3.887,0.52,backward|recompute
388,2,0.084,10.793,131.041,0.799,backward|recompute|layer|moe|hybridep_dispatch
389,0,0.554,0.004,4.823,5.062,backward|recompute|layer
390,6,11.579,0.198,33.046,97.977,backward|recompute
391,2,0.023,0.005,3.961,0.605,backward|recompute
392,6,0.006,0.008,0.37,0.095,backward|recompute
393,0,0.479,0.002,4.44,4.518,backward|recompute
394,6,13.938,0.077,37.745,117.053,backward|recompute
395,2,0.082,0.004,4.318,1.242,backward|recompute
396,1,0.036,9.675,125.855,0.384,backward|recompute|layer|moe|hybridep_dispatch
397,0,0.745,0.003,4.695,4.577,backward|recompute|layer|moe|moe_experts
398,1,22.901,0.2,41.121,163.626,backward|recompute
399,3,0.022,0.003,3.901,0.942,backward|recompute
400,6,0.002,0.01,0.366,0.058,backward|recompute
401,0,0.719,0.003,4.365,4.395,backward|recompute
402,1,30.762,0.125,50.93,219.885,backward|recompute
403,2,0.044,0.004,4.217,1.308,backward|recompute
404,5,0.035,10.322,125.098,0.37,backward|recompute|layer|moe|hybridep_dispatch
405,1,0.63,0.005,4.104,3.822,backward|recompute|layer|moe|moe_experts
406,0,7.412,0.174,27.636,55.171,backward|recompute
407,6,0.026,0.003,3.492,0.304,backward|recompute
408,6,0.003,0.008,0.367,0.088,backward|recompute
409,1,0.604,0.002,3.809,3.673,backward|recompute
410,0,9.274,0.378,31.61,67.58,backward|recompute
411,6,0.024,0.004,3.703,0.323,backward|recompute
412,6,0.019,9.311,128.791,0.298,backward|recompute|layer|moe|hybridep_dispatch
413,7,0.638,0.006,4.181,4.247,backward|recompute|layer|moe|moe_experts
414,1,6.055,0.172,27.779,56.293,backward|recompute
415,2,0.048,0.002,3.55,0.415,backward|recompute
416,2,0.004,0.009,0.367,0.086,backward|recompute
417,7,0.58,0.005,3.852,3.882,backward|recompute
418,1,7.815,0.074,31.789,69.938,backward|recompute
419,2,0.033,0.006,3.771,0.325,backward|recompute
420,5,0.032,11.805,134.874,0.412,backward|recompute|layer|moe|hybridep_dispatch
421,0,0.733,0.004,4.524,4.204,backward|recompute|layer|moe
422,1,14.405,0.216,33.525,101.743,backward|recompute
423,2,0.072,0.004,3.836,0.879,backward|recompute
424,1,0.007,0.006,0.372,0.105,backward|recompute
425,0,0.653,0.003,4.169,4.399,backward|recompute
426,1,17.065,0.08,38.336,121.77,backward|recompute
427,2,0.103,0.005,4.138,1.328,backward|recompute
428,4,0.048,9.308,128.177,0.453,backward|recompute|layer|moe|hybridep_dispatch
